T,FC,E,F,C
1,4,24,8,2.0
2,12,24,24,6.0
3,15,24,30,7.5
4,9,24,18,4.5
5,28,24,56,14.0
6,29,24,58,14.5
7,8,24,16,4.0
8,7,24,14,3.5
9,4,24,8,2.0
10,8,24,16,4.0
11,9,24,18,4.5
12,12,24,24,6.0
13,8,24,16,4.0
14,4,24,8,2.0
15,14,24,28,7.0
16,19,24,38,9.5
17,23,24,46,11.5
18,12,24,24,6.0
19,22,24,44,11.0
20,12,24,24,6.0
21,13,24,26,6.5
22,19,24,38,9.5
23,10,24,20,5.0
24,5,24,10,2.5
25,5,24,10,2.5
26,5,24,10,2.5
27,7,24,14,3.5
28,7,24,14,3.5
29,1,24,2,0.5
30,3,24,6,1.5
31,1,24,2,0.5
32,2,24,4,1.0
33,0,24,0,0.0
34,2,24,4,1.0
35,9,24,18,4.5
36,1,24,2,0.5
37,0,24,0,0.0
38,0,24,0,0.0
39,0,24,0,0.0
40,1,24,2,0.5
41,1,24,2,0.5
