Data11
------

This data set is from [Anna80]. The software system is a 
flight dynamic application consisting of 10,000 lines of code. 
The cumulative test time is reported in hours.

-----------------------------------------------------------
   C(i)    T(i)        C(i)    T(i)        C(i)    T(i)    
-----------------------------------------------------------

    1	   1.100	41	17.034	    81      48.770
    2	   2.200	42	17.202	    82      50.215
    3	   2.278	43	17.370	    83      50.430
    4	   2.356	44	17.540	    84      50.645
    5	   2.434	45	17.922	    85      50.860
    6	   2.512	46	18.304	    86      51.075
    7	   2.590	47	18.686	    87      51.290
    8	   2.668	48	19.070	    88      51.505
    9	   2.746	49	19.325	    89      51.720
   10	   2.824	50	19.580	    90      51.935
   11	   2.900	51	19.835	    91      52.150
   12	   3.133	52	20.090	    92      52.365
   13	   3.366	53	20.345	    93      52.580
   14	   3.600	54	20.600	    94      52.800
   15	   7.000	55	21.162	    95      53.733
   16	   7.600	56	21.724	    96      54.666
   17	   8.050	57	22.286	    97      55.600
   18	   8.071	58	22.850	    98      56.300
   19	   8.092	59	23.412	    99      57.000
   20	   8.113	60	23.974	   100	    62.600
   21	   8.134	61	24.536	   101	    63.326
   22	   8.155	62	25.100	   102	    64.052
   23	   8.176	63	31.300	   103	    64.778
   24	   8.200	64	36.220	   l04	    65.504
   25	   8.426	65	36.320	   105	    66.230
   26	   8.652	66	36.420	   106	    67.617
   27	   8.878	67	36.520	   107	    68.524
   28	   9.104	68	36.620	   108      69.431
   29	   9.330	69	36.720	   109	    70.340
   30	  11.035	70	37.925	   110	    71.870
   31	  12.740	71	39.130	   111	    75.500
   32	  13.305	72	39.933	   112	    76.433
   33 	  13.870	73	40.736	   113	    77.366
   34	  14.096	74	41.540	   114	    78.300
   35	  14.322	75	42.343	   115	    79.100
   36	  14.548	76	43.146	   116	    79.900
   37	  14.774	77	43.950	   117	    80.700
   38	  15.000	78      45.155	   118	    82.360
   39	  16.698	79      46.360	
   40	  16.866	80      47.565	

