Data12
------

This data set is from [Anna80]. The software system is a 
flight dynamic application consisting of 22,500 lines of code. 
The cumulative test time is reported in hours.

----------------------------------------------------------------------------
    C(i)    T(i)      C(i)   T(i)	    C(i)    T(i)     C(i)   T(i)
----------------------------------------------------------------------------

     1     0.267      50    33.800	    99    79.976     148    137.720
     2     0.533      51    34.433	   100    80.924     149    138.104
     3     0.800      52    35.067	   101    81.872     150    138.487
     4     1.067      53    35.700	   102    82.820     151    138.871
     5     1.333      54    35.882	   103    83.369     152    139.254
     6     1.600      55    36.064	   104    83.918     153    139.638
     7     3.588      56    36.247	   105    84.467     154    140.022
     8     3.975      57    36.429	   106    85.016     155    140.668
     9     4.362      58    36.611	   107    85.566     156    140.789
    10     4.750      59    36.793	   108    86.114     157    141.173
    11     5.267      60    36.971	   109    86.664     158    141.556
    12     5.783      61    37.158	   110    87.213     159    141.940
    13     6.300      62    37.340	   111    87.762     160    142.161
    14     7.075      63    38.160	   112    88.314     161    142.383
    15     7.850      64    38.980	   113    88.860     162    142.604
    16     8.071      65    39.800	   114    89.249     163    142.826
    17     8.293      66    40.620	   115    89.638     164    143.047
    18     8.514      67    42.624	   116    90.027     165    143.269
    19     8.736      68    42.589	   117    90.416     166    143.490
    20     8.957      69    43.353	   118    90.806     167    144.897
    21     9.179      70    43.718	   119    91.194     168    146.303
    22     9.400      71    44.082	   120    91.584     169    147.710
    23    12.960      72    44.447	   121    91.973     170    152.360
    24    14.740      73    44.811	   122    92.362     171    154.680
    25    15.333      74    45.176	   123    92.751     172    156.540
    26    15.927      75    45.540	   124    93.140     173    157.315
    27    16.520      76    46.267	   125    96.004     174    158.090
    28    16.682      77    46.993	   126    96.358     175    158.795
    29    16.844      78    47.720	   127    96.712     176    159.500
    30    17.006      79    48.447	   128    97.066     177    160.205
    31    17.167      80    49.173	   129    97.420     178    160.910
    32    17.329      81    49.900	   130    99.107     179    161.615
    33    17.491      82    50.242	   131   100.793     180    162.320
    34    17.653      83    50.583	   132   102.480 
    35    17.814      84    50.925	   133   108.250
    36    17.976      85    51.267	   134   111.130
    37    18.138      86    51.608	   135   114.010
    38    18.300      87    51.950	   136   115.970
    39    29.770      88    52.720	   137   121.036
    40    30.480      89    57.800	   138   125.260
    41    30.683      90    66.620	   139   125.690
    42    30.886      91    70.160	   140   126.120
    43    31.089      92    75.890	   141   126.550
    44    31.291      93    76.328	   142   127.990
    45    31.494      94    76.766	   143   129.430
    46    31.697      95    77.204	   144   130.870
    47    31.900      96    77.642	   145   132.310
    48    32.533      97    78.080	   146   135.093
    49    33.167      98    79.028	   147   136.407

