Data13
------

This data set is from [Anna80]. The software system is a 
dynamic application consisting of 38,500 lines of code. 
The cumulative test time is reported in hours.

----------------------------------------------------------------------
   C(i)  T(i)      C(i)  T(i)       C(i)   T(i)       C(i)   T(i)
----------------------------------------------------------------------

   1   0.825       55   28.210      109   85.624      163  147.875
   2   1.650       56   28.480      110   85.928      164  148.190
   3   2.475       57   29.750      111   86.232      165  157.940
   4   3.300       58   29.020      112   86.536      166  158.930
   5   3.628       59   29.290      113   86.840      167  159.920
   6   3.955       60   29.560      114   87.885      168  164.330
   7   4.282       61   30.904      115   88.740      169  168.895
   8   4.610       62   36.450      116   90.260      170  170.380
   9   4.938       63   36.897      117   90.513      171  171.145
  10   5.265       64   37.343      118   90.767      172  171.910
  11   5.592       65   37.790      119   91.020      173  179.140
  12   5.920       66   38.128      120   98.050      174  181.335
  13   6.248       67   38.465      121  100.267      175  181.520
  14   6.575       68   38.202      122  100.773      176  181.890
  15   6.902       69   39.140      123  101.280      177  181.890
  16   7.230       70   43.320      124  103.180      178  185.085
  17   7.558       71   43.760      125  103.560      179  185.640
  18   7.885       72   44.200      126  105.080      180  186.385
  19   8.212       73   44.640      127  108.300      181  186.760
  20   8.540       74   46.180      128  108.772      182  137.590
  21   8.638       75   46.400      129  109.245      183  190.000
  22   8.736       76   46.620      130  109.718      184  190.330
  23   8.834       77   46.840      131  110.190      185  190.990
  24   8.932       78   47.060      132  110.443      186  192.655
  25   9.030       79   47.280      133  110.697      187  193.450
  26   9.128       80   48.450      134  110.950      188  195.970
  27   9.226       81   50.430      135  112.940      189  196.191
  28   9.324       82   51.090      136  121.520      190  196.433
  29   9.422       83   52.410      137  122.280      191  196.777
  30   9.520       84   54.900      138  128.210      192  197.070
  31  13.045       85   55.392      139  129.920      193  198.230
  32  13.520       86   55.705      140  132.098      194  201.310
  33  13.840       87   56.108      141  132.267      195  201.890
  34  14.160       88   56.510      142  132.435      196  202.470
  35  14.480       89   56.832      143  132.603      197  203.530
  36  16.390       90   57.154      144  132.772      198  203.950
  37  17.340       91   57.476      145  132.940      199  204.055
  38  17.660       92   57.798      146  134.070      200  204.160
  39  17.980       93   58.120      147  134.355      201  204.965
  40  18.300       94   61.340      143  134.640      202  205.340
  41  18.637       95   62.245      149  134.925      203  207.620
  42  18.973       96   63.150      150  135.210      204  208.130
  43  19.310       97   67.175      151  135.495      205  208.430
  44  20.320       98   67.980      152  135.780      206  209.600
  45  22.912       99   69.590      153  136.635      207  210.530
  46  23.165      100   71.400      154  137.490      208  210.950
  47  23.418      101   72.020      155  139.000      209  211.310
  48  23.670      102   72.640      156  139.837      210  212.860
  49  24.175      103   73.880      157  140.173      211  215.060
  50  24.680      104   75.120      158  140.510      212  215.905
  51  25.185      105   77.750      159  142.960      213  216.070
  52  25.690      106   79.920      160  144.280  
  53  26.195      107   84.560      161  146.610  
  54  26.700      108   85.320      162  147.560  

