Data7
-----

This data set is from [Tohm91]. The software system is for
a real-time control application consisting of 870,000 lines of code.
The cumulative test time is reported in days.

---------------------------------------------------------------
  T(i)      C(i)          T(i)      C(i)          T(i)    C(i)
  Days                    Days                    Days
---------------------------------------------------------------

    1        4             41        318           81      517
    2        4             42        333           82      518
    3       11             43        347           83      518
    4       21             44        354           84      522
    5       34             45        363           85      523
    6       42             46        374           86      524
    7       55             47        379           87      524
    8       59             48        386           88      526
    9       66             49        393           89      536
   10       74             50        407           90      526
   11       75             51        420           91      527
   12       81             52        434           92      528
   13       94             53        445           93      528
   14      101             54        447           94      528
   15      110             55        451           95      528
   16      118             56        455           96      528
   17      123             57        458           97      529
   18      133             58        464           98      529
   19      140             59        470           99      530
   20      151             60        473          100      530
   21      156             61        473          101      530
   22      164             62        473          102      530
   23      177             63        476          103      530
   24      186             64        476          104      532
   25      193             65        480          105      532
   26      200             66        480          106      533
   27      205             67        481          107      533
   28      212             68        483          108      535
   29      218             69        483          109      535
   30      224             70        484       
   31      228             71        486        
   32      240             72        491        
   33      246             73        494        
   34      253             74        496        
   35      261             75        497        
   36      272             76        508        
   37      278             77        509        
   38      287             78        509        
   39      294             79        511        
   40      306             80        513        

