Data8
-----

This data set is from [Tohm89]. The software system is a
monitoring and real-time control system and consists of 200,000 
lines of code. The cumulative test time is reported in days.

---------------------------------------------------------
    T(i)   C(i)      T(i)    C(i)     T(i)    C(i) 
    Days             Days             Days
---------------------------------------------------------

     1     5          41    367        81     473   
     2    10          42    375        82     473  
     3    15          43    381        83     473 
     4    20          44    401        84     473
     5    26          45    411        85     473    
     6    34          46    414        86     473   
     7    36          47    417        87     475  
     8    43          48    425        88     475 
     9    47          49    430        89     475
    10    49          50    431        90     475    
    11    80          51    433        91     475   
    12    84          52    435        92     475  
    13   108          53    437        93     475 
    14   157          54    444        94     475    
    15   171          55    446        95     475   
    16   183          56    446        96     476  
    17   191          57    448        97     476 
    18   200          58    451        98     476    
    19   204          59    453        99     476   
    20   211          60    460       100     477
    21   217          61    463       101     477    
    22   217          62    463	      102     477   
    23   230          63    464	      103     478  
    24   234          64    464       104     473  
    25   236          65    465       105     478
    26   240          66    463       106     479
    27   243          67    465       107     479
    28   252          68    466       108     479 
    29   254          69    467       109     480
    30   259          70    467       110     480
    31   263          71    467       111     481 
    32   264          72    468    	
    33   268          73    469	
    34   271          74    469    	
    35   277          75    469   	
    36   290          76    469  	
    37   309          77    470 	
    38   324          78    472    	
    39   331          79    472   	
    40   346          80    473    	

