Data9
-----

This data set is from [Tohm89]. The software system is a 
railway interlocking system and has about 14,500 assembly 
instructions. The cumulative test time is reported in days.
   
--------------------------------------------------------------------
    T(i)   C(i)      T(i)   C(i)      T(i)   C(i)      T(i)   C(i)
--------------------------------------------------------------------

     1      0         51      5       101     27       151     50
     2      0         52      5       102     27       152     50 
     3      0         53      5       103     27       153     50 
     4      0         54      5       104     27       154     51
     5      0         55      6       105     28       155     51
     6      0         56      6       106     28       156     51
     7      0         57      9       107     28       157     51
     8      0         58      9       108     28       158     51
     9      0         59      9       109     28       159     51
     10     0         60     11       110     28       160     52
     11     0         61     13       111     28       161     52
     12     0         62     13       112     29       162     53
     13     0         63     15       113     29       163     53
     14     0         64     16       114     29       164     53
     15     2         65     16       115     30       165     53 
     16     2         66     16       116     30       166     53
     17     3         67     16       117     30       167     53 
     18     3         68     18       118     30       168     53
     19     3         69     20       119     30       169     33 
     20     3         70     20       120     30       170     53
     21     3         71     20       121     30       171     53
     22     3         72     20       122     30       172     53
     23     3         73     20       123     30       173     53
     24     3         74     20       124     30       174     53
     25     3         75     20       125     32       175     53
     26     3         76     20       126     34       176     53 
     27     3         77     21       127     34       177     53
     28     3         78     21       128     35       178     54
     29     3         79     21       129     36       179     54
     30     3         80     21       130     36       180     54
     31     3         81     21       131     36       181     54
     32     3         82     21       132     36       182     54
     33     3         83     21       133     37       183     55
     34     3         84     21       134     38       184     55 
     35     3         85     21       135     39       185     55
     36     3         86     22       136     39       186     55
     37     3         87     24       137     39       187     55
     38     3         88     24       138     39       188     55
     39     3         89     24       139     39       189     55
     40     4         90     25       140     40       190     55 
     41     4         91     25       141     42       191     55
     42     4         92     25       142     42       192     55
     43     4         93     25       143     45       193     55
     44     5         94     25       144     46       194     55 
     45     5         95     25       145     47       195     55
     46     5         96     27       146     47       196     55
     47     5         97     27       147     48       197     55 
     48     5         98     27       148     49       198     55
     49     5         99     27       149     50       199     55
     50     5        100     27       150     50     

