DataSet 2
---------

Data set contains 36 months of defect-discovery times for a 
release of Controller Software consisting of about 500,000 
lines of code installed on over 100,000 controllers. The 
defects are those that were present in the code of the 
particular release of the software, and were discovered as a 
result of failures reported by users of that release, or 
possibly of the follow-on release of the product [Kenn93a,Kenn93b].

--------------
Day	Defect
--------------

12	1
15	2
28	3
39	4
53	5
53	6
60	7
60	8
60	9
63	10
68	11
68	12
82	13
91	14
97	15
97	16
102	17
103	18
103	19
104	20
105	21
109	22
109	23
113	24
125	25
126	26
131	27
158	28
165	29
166	30
166	31
173	32
183	33
189	34
193	35
194	36
202	37
204	38
214	39
229	40
230	41
235	42
235	43
237	44
238	45
238	46
239	47
243	48
251	49
253	50
257	51
260	52
263	53
266	54
268	55
271	56
271	57
272	58
274	59
279	60
284	61
288	62
288	63
291	64
293	65
299	66
305	67
308	68
323	69
323	70
327	71
328	72
333	73
336	74
347	75
349	76
369	77
389	78
392	79
393	80
405	81
410	82
411	83
411	84
417	85
435	86
435	87
435	88
435	89
441	90
441	91
453	92
467	93
468	94
488	95
509	96
512	97
517	98
558	99
559	100
573	101
587	102
644	103
644	104
655	105
728	106
734	107
769	108
783	109
994	110
1064	111

